url,Average Rating
https://www.allrecipes.com/recipe/221320/old-fashioned-cocktail/,1.6
https://www.allrecipes.com/recipe/25553/moist-carrot-cake/,3.5
https://www.allrecipes.com/recipe/241997/easy-strawberry-shortcake/,1.3
https://www.allrecipes.com/recipe/275396/chicken-tenders-with-balsamic-fig-sauce/,3.8
https://www.allrecipes.com/recipe/228231/summer-fruit-salad-with-a-lemon-honey-and-mint-dressing/,1.8
https://www.allrecipes.com/recipe/12604/fruit-pizza-i/,4.0
https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,4.5
https://www.allrecipes.com/recipe/234391/slow-cooker-cranberry-fig-pork/,2.4
https://www.allrecipes.com/recipe/237021/sweet-coconut-rice/,2.0
https://www.allrecipes.com/recipe/138159/pineapple-and-banana-smoothie/,1.0
https://www.allrecipes.com/recipe/19511/smoked-salmon-sushi-roll/,3.8
https://www.allrecipes.com/recipe/56148/spiced-pears-and-pomegranate/,1.3
https://www.allrecipes.com/recipe/23245/mexican-chicken-soup/,3.2
https://www.allrecipes.com/recipe/15942/canned-apple-pie-filling/,4.8
https://www.allrecipes.com/recipe/238205/mango-cilantro-slaw/,1.2
https://www.allrecipes.com/recipe/228558/delish-black-mission-figs/,1.8
https://www.allrecipes.com/recipe/176287/pear-sour-cream-pie/,3.3
https://www.allrecipes.com/recipe/263627/mexican-mango-and-white-fish-ceviche/,2.3
https://www.allrecipes.com/recipe/204423/caribbean-health-drink/,1.0
https://www.allrecipes.com/recipe/7770/lemon-icing/,2.0
https://www.allrecipes.com/recipe/7666/queen-elizabeth-cake-i/,4.9
https://www.allrecipes.com/recipe/269576/supreme-green-smoothie/,1.1
https://www.allrecipes.com/recipe/24227/christmas-plum-pudding/,5.0
https://www.allrecipes.com/recipe/269274/pavlova-with-winter-fruits/,5.0
https://www.allrecipes.com/recipe/83706/a-drama-queens-pavlova/,3.6
https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,4.1
https://www.allrecipes.com/recipe/216536/blue-cheese-walnut-and-pear-pizza/,2.9
https://www.allrecipes.com/recipe/23539/strawberry-oatmeal-breakfast-smoothie/,1.2
https://www.allrecipes.com/recipe/206356/gorgonzola-pear-pasta/,2.0
https://www.allrecipes.com/recipe/7915/german-apple-cake-i/,3.2
https://www.allrecipes.com/recipe/21294/apricot-pork-chops/,1.5
https://www.allrecipes.com/recipe/276680/lemon-cookies-from-scratch/,4.3
https://www.allrecipes.com/recipe/22694/bacon-and-date-appetizer/,1.7
https://www.allrecipes.com/recipe/270865/tropical-mango-pineapple-berry-smoothie/,1.0
https://www.allrecipes.com/recipe/215133/zwetschekuchen-german-plum-tart/,4.7
https://www.allrecipes.com/recipe/215145/plum-flummery/,3.0
https://www.allrecipes.com/recipe/241987/baked-peaches/,1.8
https://www.allrecipes.com/recipe/215144/plum-chipotle-sauce/,4.0
https://www.allrecipes.com/recipe/231851/easy-mango-banana-smoothie/,1.15
https://www.allrecipes.com/recipe/8201/strawberry-shortcake/,3.55
https://www.allrecipes.com/recipe/15587/apple-crumb-pie/,3.75
https://www.allrecipes.com/recipe/21130/caramel-apples/,1.85
